accession	accession.version	taxid	gi
A00002	A00002.1	9913	2
A00003	A00003.1	9913	3
X17276	X17276.1	9646	4
X60065	X60065.1	9913	5
X55027	X55027.1	9913	11
Z12029	Z12029.1	9915	15
X52700	X52700.1	9771	16
X52701	X52701.1	9771	17
X52702	X52702.1	9771	18
X52706	X52706.1	9771	19
X52703	X52703.1	9771	20
X52704	X52704.1	9771	21
X52705	X52705.1	9771	22
X53811	X53811.1	9771	23
X53812	X53812.1	9771	24
X53813	X53813.1	9771	25
X53814	X53814.1	9771	26
Z18633	Z18633.1	9770	27
Z18632	Z18632.1	9770	28
X60496	X60496.1	9913	33
X60497	X60497.1	9913	36
X60498	X60498.1	9913	37
X60960	X60960.1	9913	40
X63129	X63129.1	9913	41
X62294	X62294.1	9913	43
X16451	X16451.1	9913	60
X63317	X63317.1	9913	67
X05087	X05087.1	9913	69
X05090	X05090.1	9913	70
X63475	X63475.1	9913	71
X63474	X63474.1	9913	72
X56649	X56649.1	9913	73
Z11742	Z11742.1	9913	77
X56933	X56933.1	9913	79
X56124	X56124.1	9913	82
X59856	X59856.2	9913	109659794
X64898	X64898.1	9913	113
X56119	X56119.1	9913	119
X57765	X57765.1	9913	121
X63139	X63139.1	9913	123
X52582	X52582.1	9913	124
X52581	X52581.1	9913	125
X14710	X14710.1	9913	127
X03365	X03365.1	9913	142
X59767	X59767.1	9913	150
X03366	X03366.1	9913	154
X58386	X58386.1	9913	162
X67333	X67333.1	9913	167
X03590	X03590.1	9913	169
X00565	X00565.1	9913	170
X00564	X00564.1	9913	175
X62881	X62881.1	9913	186
X59416	X59416.1	9913	190
X55489	X55489.1	9913	201
X51604	X51604.1	9913	203
X57146	X57146.1	9913	209
X54289	X54289.1	9913	213
X63221	X63221.1	9913	221
X63220	X63220.1	9913	223
X63215	X63215.1	9913	225
X63216	X63216.1	9913	231
X63209	X63209.1	9913	233
X63213	X63213.1	9913	235
X63218	X63218.1	9913	237
X63211	X63211.1	9913	239
X63212	X63212.1	9913	241
X63210	X63210.1	9913	243
X63219	X63219.1	9913	245
X63217	X63217.1	9913	247
X63214	X63214.1	9913	249
X63223	X63223.1	9913	251
X63224	X63224.1	9913	255
X63208	X63208.1	9913	257
X53556	X53556.1	9913	263
X56857	X56857.1	9913	269
X56739	X56739.1	9913	271
X58823	X58823.1	9913	278
X04411	X04411.1	9913	279
X57031	X57031.1	9913	285
X01036	X01036.1	9913	287
X51657	X51657.1	9913	304
X58466	X58466.1	9913	306
X56967	X56967.1	9913	310
X56968	X56968.1	9913	312
X56966	X56966.1	9913	315
Z18244	Z18244.1	9913	317
X53689	X53689.1	9913	324
Z14089	Z14089.1	9913	336
V00110	V00110.1	9913	356
X61456	X61456.1	9913	360
X12657	X12657.1	9913	388
X00376	X00376.1	9913	394
Y00770	Y00770.1	9913	407
X68443	X68443.1	9913	431
X54980	X54980.1	9913	433
X54979	X54979.1	9913	435
X17201	X17201.1	9913	452
X67340	X67340.1	9913	462
X52687	X52687.1	9913	464
Z11749	Z11749.1	9913	466
X05048	X05048.1	9913	477
X05131	X05131.1	9913	482
X05127	X05127.1	9913	483
X54801	X54801.1	9913	503
X57084	X57084.1	9913	505
X62882	X62882.1	9913	515
X15609	X15609.1	9913	523
X67825	X67825.1	9913	532
X67827	X67827.1	9913	540
X65202	X65202.1	9913	542
X65205	X65205.1	9913	545
X65212	X65212.1	9913	552
X65213	X65213.1	9913	553
X65215	X65215.1	9913	555
X65217	X65217.1	9913	557
X64897	X64897.1	9913	559
X59504	X59504.1	9913	561
Z14036	Z14036.1	9913	565
Z14037	Z14037.1	9913	566
Z14038	Z14038.1	9913	567
Z14039	Z14039.1	9913	568
Z14040	Z14040.1	9913	569
Z14041	Z14041.1	9913	570
Z14042	Z14042.1	9913	571
Z14043	Z14043.1	9913	572
X67831	X67831.1	9913	574
X54978	X54978.1	9913	575
X54977	X54977.1	9913	577
X12357	X12357.1	9913	583
V00114	V00114.1	9913	591
X15600	X15600.1	9913	595
X63322	X63322.1	9913	596
X52907	X52907.1	9913	599
X54962	X54962.1	9913	610
X63436	X63436.1	9913	642
X57033	X57033.1	9913	646
X16581	X16581.1	9913	648
X14321	X14321.1	9913	650
X14320	X14320.1	9913	652
X16641	X16641.1	9913	673
X01452	X01452.1	9913	675
X01744	X01744.1	9913	676
X12891	X12891.1	9913	681
X55882	X55882.1	9913	683
X12516	X12516.1	9913	685
X17364	X17364.1	9913	691
X17365	X17365.1	9913	692
V00115	V00115.1	9913	693
V00116	V00116.1	9913	694
V00118	V00118.1	9913	695
V00119	V00119.1	9913	696
V00120	V00120.1	9913	697
V00121	V00121.1	9913	698
V00122	V00122.1	9913	699
V00123	V00123.1	9913	700
V00124	V00124.1	9913	701
V00125	V00125.1	9913	702
X03116	X03116.1	9913	703
V00126	V00126.1	9913	704
V00127	V00127.1	9913	705
V00128	V00128.1	9913	706
V00129	V00129.1	9913	707
V00130	V00130.1	9913	708
V00131	V00131.1	9913	709
V00132	V00132.1	9913	710
V00133	V00133.1	9913	711
X15543	X15543.1	9913	712
V00134	V00134.1	9913	715
X53699	X53699.1	9913	719
X13767	X13767.1	9913	721
X06739	X06739.1	9913	724
X06740	X06740.1	9913	725
X00979	X00979.1	9913	726
X03160	X03160.1	9913	727
X03161	X03161.1	9913	728
X03162	X03162.1	9913	729
X03163	X03163.1	9913	730
X03164	X03164.1	9913	731
X03165	X03165.1	9913	732
X03166	X03166.1	9913	733
X51689	X51689.1	9913	734
X54183	X54183.1	9913	736
X54551	X54551.1	9913	740
X06685	X06685.1	9913	741
X54799	X54799.1	9913	757
X65539	X65539.1	9913	765
X14324	X14324.1	9913	788
X05380	X05380.1	9913	790
X05381	X05381.1	9913	792
X14325	X14325.1	9913	794
X65041	X65041.1	9913	807
X56626	X56626.1	9913	809
X56627	X56627.1	9913	810
X04542	X04542.1	9913	823
X53918	X53918.1	9913	824
X51354	X51354.1	9913	826
X51355	X51355.1	9913	827
X51356	X51356.1	9913	828
X54703	X54703.1	9913	829
X02312	X02312.1	9925	838
X65450	X65450.1	9615	839
X53591	X53591.1	9615	845
X53592	X53592.1	9615	847
X55317	X55317.1	9615	857
X63079	X63079.1	9860	863
Z18635	Z18635.1	27608	865
Z18634	Z18634.1	27608	866
X56125	X56125.1	9615	872
X64964	X64964.1	9615	882
X64965	X64965.1	9615	883
X64966	X64966.1	9615	884
X64967	X64967.1	9615	885
X64968	X64968.1	9615	886
X64969	X64969.1	9615	887
X64970	X64970.1	9615	888
X64971	X64971.1	9615	889
X64972	X64972.1	9615	892
X64973	X64973.1	9615	893
X14610	X14610.1	9615	894
X54915	X54915.1	9615	909
Y00399	Y00399.1	9615	911
X56384	X56384.1	9615	913
X56387	X56387.1	9615	914
X56388	X56388.1	9615	916
X56389	X56389.1	9615	918
X56385	X56385.1	9615	920
X56390	X56390.1	9615	921
X56391	X56391.1	9615	926
X53744	X53744.1	9615	931
X63678	X63678.1	9615	941
X57335	X57335.1	9925	945
X56463	X56463.1	9925	952
X59836	X59836.1	9925	953
V00151	V00151.1	9925	959
V00154	V00154.1	9925	965
X67490	X67490.1	9925	983
X02313	X02313.1	9925	984
X02314	X02314.1	9925	985
X02315	X02315.1	9925	986
X03118	X03118.1	9925	987
X14997	X14997.1	9925	989
X55312	X55312.1	9925	991
V00179	V00179.1	9616	994
Z18637	Z18637.1	9728	998
Z18636	Z18636.1	9728	999
Z18639	Z18639.1	9749	1000
Z18638	Z18638.1	9749	1001
Z18906	Z18906.1	9267	1002
Z11814	Z11814.1	9267	1004
X51914	X51914.1	9796	1007
X58563	X58563.1	9796	1008
Z18645	Z18645.1	9794	1074
Z18644	Z18644.1	9794	1075
X01086	X01086.1	9796	1078
Z11811	Z11811.1	9685	1082
X06372	X06372.1	9685	1083
X60725	X60725.1	11673	1092
X51929	X51929.1	9683	1094
X16582	X16582.1	9683	1099
X68820	X68820.1	9731	1116
X68821	X68821.1	9731	1117
X68822	X68822.1	9731	1118
X68823	X68823.1	9731	1119
Z18641	Z18641.1	9731	1120
Z18640	Z18640.1	9731	1121
Z18643	Z18643.1	27615	1128
Z18642	Z18642.1	27615	1129
Z18647	Z18647.1	27610	1130
Z18646	Z18646.1	27610	1131
Z18649	Z18649.1	27611	1135
Z18648	Z18648.1	27611	1136
Z18665	Z18665.1	27613	1137
Z18664	Z18664.1	27613	1138
Z18651	Z18651.1	27616	1151
Z18650	Z18650.1	27616	1152
X02323	X02323.1	9887	1160
Z18653	Z18653.1	9773	1161
Z18652	Z18652.1	9773	1162
X59440	X59440.1	9668	1163
Z18654	Z18654.1	27617	1164
X56823	X56823.1	9886	1165
X56218	X56218.1	452646	1168
X56219	X56219.1	452646	1169
X56220	X56220.1	452646	1170
X56221	X56221.1	452646	1171
X56222	X56222.1	452646	1172
X56223	X56223.1	452646	1173
Z19516	Z19516.1	452646	1188
X68287	X68287.1	9940	1194
X59068	X59068.1	9940	1196
X16482	X16482.1	9940	1210
X51357	X51357.1	9940	1259
X51358	X51358.1	9940	1260
X51403	X51403.1	9940	1261
X55638	X55638.1	9940	1266
X60167	X60167.1	9940	1271
X54796	X54796.1	9940	1273
Z11560	Z11560.1	9940	1275
X05638	X05638.1	9940	1301
X05639	X05639.1	9940	1303
X55294	X55294.1	9940	1305
X62509	X62509.1	9940	1307
X07972	X07972.1	9940	1344
X62102	X62102.1	9940	1347
X00434	X00434.1	9939	1378
X16578	X16578.1	9940	1379
X01839	X01839.1	9939	1381
X03117	X03117.1	9939	1384
Z12963	Z12963.1	9940	1391
Z12964	Z12964.1	9940	1393
Z12965	Z12965.1	9940	1395
Z12966	Z12966.1	9940	1397
X55966	X55966.1	9940	1403
X55152	X55152.1	9940	1405
X56346	X56346.1	9940	1407
X56341	X56341.1	9940	1409
X56342	X56342.1	9940	1411
X56344	X56344.1	9940	1415
X56345	X56345.1	9940	1417
X61503	X61503.1	9986	1423
X06789	X06789.1	9986	1425
X62549	X62549.1	9986	1434
X56031	X56031.1	9986	1435
V00875	V00875.1	9986	1443
X51508	X51508.1	9986	1447
X16427	X16427.1	9986	1449
X16428	X16428.1	9986	1451
X64694	X64694.1	9986	1470
V00878	V00878.1	9986	1482
V00881	V00881.1	9986	1488
X64297	X64297.1	9986	1497
X64298	X64298.1	9986	1499
X64299	X64299.1	9986	1501
X64300	X64300.1	9986	1503
X60782	X60782.1	9986	1505
X55763	X55763.1	9986	1507
X55040	X55040.1	9986	1511
X15735	X15735.1	9986	1521
Z11846	Z11846.1	9986	1536
X15724	X15724.1	9986	1549
X62245	X62245.1	9986	1550
